i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
872;Chacra Vieja1 21;Chacra Vieja 1 21;Chacra Vieja;1;21;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
873;Chacra Vieja1 22;Chacra Vieja 1 22;Chacra Vieja;1;22;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
874;Chacra Vieja1 23;Chacra Vieja 1 23;Chacra Vieja;1;23;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
875;Chacra Vieja1 24;Chacra Vieja 1 24;Chacra Vieja;1;24;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
876;Chacra Vieja1 25;Chacra Vieja 1 25;Chacra Vieja;1;25;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
877;Chacra Vieja1 26;Chacra Vieja 1 26;Chacra Vieja;1;26;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
878;Chacra Vieja1 27;Chacra Vieja 1 27;Chacra Vieja;1;27;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
879;Chacra Vieja1 28;Chacra Vieja 1 28;Chacra Vieja;1;28;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
880;Chacra Vieja1 29;Chacra Vieja 1 29;Chacra Vieja;1;29;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
881;Chacra Vieja1 30;Chacra Vieja 1 30;Chacra Vieja;1;30;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
882;Chacra Vieja1 31;Chacra Vieja 1 31;Chacra Vieja;1;31;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
883;Chacra Vieja1 32;Chacra Vieja 1 32;Chacra Vieja;1;32;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
884;Chacra Vieja1 33;Chacra Vieja 1 33;Chacra Vieja;1;33;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
885;Chacra Vieja1 34;Chacra Vieja 1 34;Chacra Vieja;1;34;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
886;Chacra Vieja1 35;Chacra Vieja 1 35;Chacra Vieja;1;35;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
887;Chacra Vieja1 36;Chacra Vieja 1 36;Chacra Vieja;1;36;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
888;Chacra Vieja1 37;Chacra Vieja 1 37;Chacra Vieja;1;37;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
889;Chacra Vieja1 38;Chacra Vieja 1 38;Chacra Vieja;1;38;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
890;Chacra Vieja1 39;Chacra Vieja 1 39;Chacra Vieja;1;39;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
